source,section,text
nine_mmrc,exec_summary,Approximately 700 women across the United States die each year as a result of pregnancy or pregnancy-related complications.
nine_mmrc,equity,Non-Hispanic Black women experience maternal deaths at a rate three to four times that of non-Hispanic White women.
nine_mmrc,preventability,The Nine Committees estimated that over 60% of pregnancy-related deaths were preventable.
nine_mmrc,contributing,"The most common contributing factors were patient/family factors, followed by provider and systems-of-care factors."
nine_mmrc,cause_of_death,"Cardiovascular and coronary conditions, hemorrhage, and infection accounted for nearly half of pregnancy-related deaths."
nine_mmrc,mental_health,Mental health conditions were a leading underlying cause of death among non-Hispanic White women.
view_role,recommendation,Prenatal care providers should screen all patients for substance use disorders at their first prenatal visit.
view_role,recommendation,"Improve communication between prenatal care providers, mental health providers, and primary care providers."
view_role,recommendation,Promote universal screening prenatally and continued in the postpartum period for mental health conditions.
view_role,recommendation,"Establish co-prescribing methods for opioid prescriptions, offering naloxone together with prescribed opioids."
nine_mmrc,systems,A lack of coordination between providers in patient management contributed to many preventable deaths.
nine_mmrc,recommendation,Committees recommended adopting levels of maternal care and enforcing policies related to obstetric hemorrhage.
